time_stamp,humidity,temperature,pressure,pm1.0_cf_1,pm2.5_cf_1,pm10.0_cf_1,sensor_number,latitude,longitude
2022-12-30 00:00:00+00:00,61.549,36.291,910.219,2.115,3.8145,4.445,27747,53.82678,-122.88069
2022-12-30 00:00:00+00:00,50.709,38.603,927.789,5.1835,8.677,9.9445,27691,53.9126,-122.80243
2022-12-30 00:00:00+00:00,19.0,70.01,921.343,0.098,0.349,0.423,115213,53.861065,-122.77701
2022-12-30 00:00:00+00:00,65.131,33.614,929.936,4.7355,7.980499999999999,9.977,23555,53.92698,-122.71216
2022-12-30 00:00:00+00:00,54.311,37.697,928.967,10.457,17.9035,21.7715,1290,53.913925,-122.76223
2022-12-30 00:00:00+00:00,53.976,38.524,908.903,1.285,2.3455,2.9545000000000003,24495,53.911438,-122.87895
2022-12-30 00:00:00+00:00,49.213,40.779,926.978,7.0465,9.728,11.464,1284,53.929886,-122.80193
2022-12-30 00:00:00+00:00,58.731,35.704,928.492,7.396000000000001,12.32,14.0635,23541,53.90835,-122.784
2022-12-30 00:00:00+00:00,50.138,42.443,925.763,4.463,6.133,7.0985,1288,53.85699,-122.75565
2022-12-30 00:00:00+00:00,86.574,36.375,919.183,6.141,7.396000000000001,8.2205,24499,53.902016,-122.67971
2022-12-30 00:00:00+00:00,62.522,35.064,905.584,1.1265,2.1805,2.6345,24515,53.98482,-122.80778
2022-12-30 00:00:00+00:00,66.196,33.894,913.494,2.435,4.5195,5.696,27761,53.873554,-122.79964
2022-12-30 00:00:00+00:00,58.083,35.983,933.473,6.9345,12.351,15.9135,23743,53.9217,-122.7322
2022-12-30 00:00:00+00:00,58.472,35.625,931.646,6.715,12.5365,15.4265,24373,54.003223,-122.66153
2022-12-30 00:00:00+00:00,60.0,35.386,928.25,5.2135,8.448,9.5575,25869,53.877056,-122.74168
2022-12-30 00:00:00+00:00,55.319,37.34,927.499,4.199,7.838,9.036,9614,53.895447,-122.79881
2022-12-30 00:00:00+00:00,57.615,35.337,909.049,0.9805,1.709,2.066,24419,53.938244,-122.85273
2022-12-30 00:00:00+00:00,55.593,38.93,929.967,5.404999999999999,10.317,13.6125,24503,53.891518,-122.78121
2022-12-30 00:00:00+00:00,57.731,34.8,921.092,2.643,4.513,5.559,24493,53.955334,-122.763824
2022-12-30 00:00:00+00:00,59.29,38.736,929.982,10.7315,18.5355,21.3445,1248,53.911182,-122.732704
2022-12-30 00:00:00+00:00,60.674,37.646,920.298,3.235,5.871,7.1850000000000005,25139,53.855797,-122.784195
2022-12-30 00:00:00+00:00,52.421,39.939,911.227,1.0205,1.7615,2.076,24379,53.97476,-122.790115
2022-12-30 00:00:00+00:00,56.415,37.775,912.43,2.0065,3.5585,4.539,24525,53.84618,-122.815414
2022-12-30 00:00:00+00:00,56.385,38.343,930.07,5.1635,9.8145,12.1385,24479,53.889565,-122.75596
2022-12-30 00:00:00+00:00,62.005,34.955,909.655,0.7355,1.242,1.4315,24557,54.005634,-122.81703
2022-12-30 00:00:00+00:00,56.299,39.344,912.274,0.737,1.4305,1.8425,1250,53.96459,-122.78269
2022-12-30 00:00:00+00:00,,,,3.693,5.0615,5.7395,1280,53.893547,-122.813866
2022-12-30 00:00:00+00:00,63.214,34.225,927.592,7.845,13.8125,16.322499999999998,27887,53.92485,-122.78755
2022-12-30 00:00:00+00:00,61.63,36.099,923.299,5.734999999999999,9.6035,10.5605,108414,53.871243,-122.77193
2022-12-30 00:00:00+00:00,57.007,36.022,927.598,6.6845,11.011,12.4825,24467,53.960423,-122.82616
2022-12-30 00:00:00+00:00,72.711,34.836,931.708,6.9335,12.274,15.118,24497,53.9048,-122.75479
