time_stamp,humidity,temperature,pressure,pm1.0_cf_1,pm2.5_cf_1,pm10.0_cf_1,sensor_number,latitude,longitude
2022-12-23 00:00:00+00:00,41.679,1.532,932.483,4.935499999999999,8.7965,10.7145,27747,53.82678,-122.88069
2022-12-23 00:00:00+00:00,32.486,5.98,951.829,3.0415,5.0225,5.9845,27691,53.9126,-122.80243
2022-12-23 00:00:00+00:00,13.286,69.942,944.443,0.484,1.197,1.399,115213,53.861065,-122.77701
2022-12-23 00:00:00+00:00,42.467,3.627,947.315,0.3885,0.995,1.5555,23555,53.92698,-122.71216
2022-12-23 00:00:00+00:00,34.646,4.353,953.256,6.511,11.6135,15.438,1290,53.913925,-122.76223
2022-12-23 00:00:00+00:00,34.128,4.81,930.83,0.987,2.128,2.889,24495,53.911438,-122.87895
2022-12-23 00:00:00+00:00,30.65,8.802,951.04,7.727500000000001,10.959,13.2245,1284,53.929886,-122.80193
2022-12-23 00:00:00+00:00,41.801,0.116,952.959,5.2705,8.546,9.774,23541,53.90835,-122.784
2022-12-23 00:00:00+00:00,32.129,9.028,949.337,3.8015,5.678000000000001,6.839,1288,53.85699,-122.75565
2022-12-23 00:00:00+00:00,44.079,0.73,943.196,35.9535,37.89,41.4,24499,53.902016,-122.67971
2022-12-23 00:00:00+00:00,50.821,-2.488,927.478,2.5125,6.993,10.5735,24515,53.98482,-122.80778
2022-12-23 00:00:00+00:00,49.454,-2.458,935.694,6.2015,8.908,11.6005,27761,53.873554,-122.79964
2022-12-23 00:00:00+00:00,38.182,2.258,958.616,3.2385,6.093500000000001,8.238,23743,53.9217,-122.7322
2022-12-23 00:00:00+00:00,41.41,2.599,956.696,5.948,11.401,15.493,24373,54.003223,-122.66153
2022-12-23 00:00:00+00:00,36.09,4.538,952.046,3.985,7.6615,9.6525,9614,53.895447,-122.79881
2022-12-23 00:00:00+00:00,39.343,2.104,952.022,5.1235,8.211500000000001,9.2905,24467,53.960423,-122.82616
2022-12-23 00:00:00+00:00,40.098,0.727,931.085,0.614,1.436,2.001,24419,53.938244,-122.85273
2022-12-23 00:00:00+00:00,38.201,4.475,954.383,3.2465,6.407,9.4065,24503,53.891518,-122.78121
2022-12-23 00:00:00+00:00,38.614,1.492,944.556,0.687,1.566,2.2495,24493,53.955334,-122.763824
2022-12-23 00:00:00+00:00,37.132,5.449,954.132,5.7905,9.848,12.2,1248,53.911182,-122.732704
2022-12-23 00:00:00+00:00,43.971,0.887,943.764,3.634,7.125,10.373,25139,53.855797,-122.784195
2022-12-23 00:00:00+00:00,37.181,3.331,933.416,0.086,0.3405,0.5535,24379,53.97476,-122.790115
2022-12-23 00:00:00+00:00,38.618,2.636,935.145,1.307,2.821,3.9445,24525,53.84618,-122.815414
2022-12-23 00:00:00+00:00,41.935,1.675,931.683,0.0885,0.27,0.3795,24557,54.005634,-122.81703
2022-12-23 00:00:00+00:00,35.001,5.664,934.486,0.092,0.5515,1.0975,1250,53.96459,-122.78269
2022-12-23 00:00:00+00:00,,,,3.7125,5.142,5.8315,1280,53.893547,-122.813866
2022-12-23 00:00:00+00:00,43.508,0.419,951.648,4.5075,7.8175,9.3375,27887,53.92485,-122.78755
2022-12-23 00:00:00+00:00,45.149,-1.067,947.423,8.7685,14.425,16.069000000000003,108414,53.871243,-122.77193
2022-12-23 00:00:00+00:00,39.49,2.268,952.773,5.039,8.1255,9.205,25869,53.877056,-122.74168
2022-12-23 00:00:00+00:00,44.993,0.313,956.574,3.408,5.939,7.431,24497,53.9048,-122.75479
