time_stamp,humidity,temperature,pressure,pm1.0_cf_1,pm2.5_cf_1,pm10.0_cf_1,sensor_number,latitude,longitude
2022-12-25 00:00:00+00:00,60.883,38.635,926.632,0.162,0.5269999999999999,0.6805,27747,53.82678,-122.88069
2022-12-25 00:00:00+00:00,49.991,40.447,943.713,2.9585,4.5125,5.0395,27691,53.9126,-122.80243
2022-12-25 00:00:00+00:00,17.013,70.575,937.537,0.0,0.006,0.03,115213,53.861065,-122.77701
2022-12-25 00:00:00+00:00,60.64,37.442,945.87,0.7484999999999999,1.2959999999999998,1.7105,23555,53.92698,-122.71216
2022-12-25 00:00:00+00:00,52.497,41.332,945.078,1.4415,2.4895,2.8325,1290,53.913925,-122.76223
2022-12-25 00:00:00+00:00,56.236,39.199,925.07,0.009,0.078,0.1615,24495,53.911438,-122.87895
2022-12-25 00:00:00+00:00,49.49,43.738,943.086,2.4465,3.367,3.982,1284,53.929886,-122.80193
2022-12-25 00:00:00+00:00,57.489,38.666,944.676,0.585,1.155,1.358,23541,53.90835,-122.784
2022-12-25 00:00:00+00:00,50.607,45.907,941.919,0.7625,1.12,1.368,1288,53.85699,-122.75565
2022-12-25 00:00:00+00:00,94.447,38.415,935.604,4.062,4.266500000000001,4.417,24499,53.902016,-122.67971
2022-12-25 00:00:00+00:00,59.454,38.757,921.701,0.6495,1.21,1.415,24515,53.98482,-122.80778
2022-12-25 00:00:00+00:00,61.868,38.231,929.756,0.2385,0.6735,1.0175,27761,53.873554,-122.79964
2022-12-25 00:00:00+00:00,54.385,40.679,949.676,0.608,1.168,1.5455,23743,53.9217,-122.7322
2022-12-25 00:00:00+00:00,57.575,35.504,948.252,11.3055,22.838,29.667,24373,54.003223,-122.66153
2022-12-25 00:00:00+00:00,55.503,41.012,943.633,0.7030000000000001,1.471,1.755,9614,53.895447,-122.79881
2022-12-25 00:00:00+00:00,58.782,37.178,943.868,4.24,6.784,7.578,24467,53.960423,-122.82616
2022-12-25 00:00:00+00:00,55.789,38.547,924.919,0.101,0.3205,0.483,24419,53.938244,-122.85273
2022-12-25 00:00:00+00:00,54.085,42.529,946.122,0.4135,1.0735,1.4155,24503,53.891518,-122.78121
2022-12-25 00:00:00+00:00,57.824,38.575,937.077,0.8045,1.531,1.9525,24493,53.955334,-122.763824
2022-12-25 00:00:00+00:00,56.257,42.88,946.152,1.8045,2.904,3.2175,1248,53.911182,-122.732704
2022-12-25 00:00:00+00:00,57.065,41.442,936.495,0.124,0.339,0.5145,25139,53.855797,-122.784195
2022-12-25 00:00:00+00:00,51.06,42.48,927.475,0.3745,0.7755,0.974,24379,53.97476,-122.790115
2022-12-25 00:00:00+00:00,55.162,40.936,928.597,0.026,0.186,0.349,24525,53.84618,-122.815414
2022-12-25 00:00:00+00:00,64.068,37.185,925.584,2.053,3.28,3.6155,24557,54.005634,-122.81703
2022-12-25 00:00:00+00:00,56.696,41.239,928.379,0.1665,0.4275,0.6335000000000001,1250,53.96459,-122.78269
2022-12-25 00:00:00+00:00,,,,0.2335,0.3535,0.435,1280,53.893547,-122.813866
2022-12-25 00:00:00+00:00,61.937,37.592,943.767,1.9125,3.3675,3.9965,27887,53.92485,-122.78755
2022-12-25 00:00:00+00:00,58.25,40.856,939.477,0.2415,0.6635,0.788,108414,53.871243,-122.77193
2022-12-25 00:00:00+00:00,59.872,38.51,944.594,0.049,0.174,0.252,25869,53.877056,-122.74168
2022-12-25 00:00:00+00:00,66.55,39.361,947.91,0.388,0.94,1.2125,24497,53.9048,-122.75479
