time_stamp,humidity,temperature,pressure,pm1.0_cf_1,pm2.5_cf_1,pm10.0_cf_1,sensor_number,latitude,longitude
2022-11-24 00:00:00+00:00,57.058,44.471,926.017,1.31,2.0775,2.3125,27747,53.82678,-122.88069
2022-11-24 00:00:00+00:00,47.431,48.1,943.086,1.1285,1.658,1.8245,27691,53.9126,-122.80243
2022-11-24 00:00:00+00:00,23.815,80.522,936.825,2.145,4.38,5.106,115213,53.861065,-122.77701
2022-11-24 00:00:00+00:00,79.474,45.549,934.043,1.194,1.919,2.287,27733,53.877823,-122.655396
2022-11-24 00:00:00+00:00,51.322,45.7,944.545,1.6575,2.628,3.111,23555,53.92698,-122.71216
2022-11-24 00:00:00+00:00,47.456,48.765,944.115,1.927,2.8765,3.1575,1290,53.913925,-122.76223
2022-11-24 00:00:00+00:00,57.624,44.551,925.25,1.3645,2.18,2.47,24395,53.995934,-122.79671
2022-11-24 00:00:00+00:00,53.456,44.8,924.371,0.806,1.3475,1.552,24495,53.911438,-122.87895
2022-11-24 00:00:00+00:00,47.357,50.425,942.109,1.7745,2.2835,2.5865,1284,53.929886,-122.80193
2022-11-24 00:00:00+00:00,52.24,45.789,943.796,1.5335,2.3085,2.535,23541,53.90835,-122.784
2022-11-24 00:00:00+00:00,46.714,51.506,941.193,2.114,2.763,3.12,1288,53.85699,-122.75565
2022-11-24 00:00:00+00:00,80.996,44.993,934.765,2.674,3.2405,3.5025,24499,53.902016,-122.67971
2022-11-24 00:00:00+00:00,56.032,44.106,921.048,1.2325,2.0010000000000003,2.276,24515,53.98482,-122.80778
2022-11-24 00:00:00+00:00,57.71,43.445,928.996,1.197,2.006,2.3345,27761,53.873554,-122.79964
2022-11-24 00:00:00+00:00,49.89,48.192,948.519,1.2745000000000002,2.0745,2.488,23743,53.9217,-122.7322
2022-11-24 00:00:00+00:00,54.129,45.028,943.527,1.724,2.6465,2.931,25869,53.877056,-122.74168
2022-11-24 00:00:00+00:00,56.07,46.765,946.983,5.7085,10.5005,13.217,24373,54.003223,-122.66153
2022-11-24 00:00:00+00:00,52.567,46.594,942.855,1.532,2.2695,2.468,24467,53.960423,-122.82616
2022-11-24 00:00:00+00:00,51.35,45.018,924.41,0.735,1.206,1.3975,24419,53.938244,-122.85273
2022-11-24 00:00:00+00:00,49.461,49.1,945.075,1.1920000000000002,2.186,2.5935,24503,53.891518,-122.78121
2022-11-24 00:00:00+00:00,54.226,43.778,936.235,1.313,2.104,2.4645,24493,53.955334,-122.763824
2022-11-24 00:00:00+00:00,50.869,50.414,945.129,2.004,2.9105,3.1545,1248,53.911182,-122.732704
2022-11-24 00:00:00+00:00,51.772,47.63,935.618,0.855,1.5055,1.7965,25139,53.855797,-122.784195
2022-11-24 00:00:00+00:00,47.493,48.678,926.746,0.997,1.531,1.7135,24379,53.97476,-122.790115
2022-11-24 00:00:00+00:00,52.867,45.69,928.152,1.137,1.8885,2.23,24525,53.84618,-122.815414
2022-11-24 00:00:00+00:00,50.425,48.264,945.359,0.9845,1.8595,2.238,24479,53.889565,-122.75596
2022-11-24 00:00:00+00:00,57.428,44.097,925.222,0.7035,1.076,1.1805,24557,54.005634,-122.81703
2022-11-24 00:00:00+00:00,52.065,47.454,927.68,0.907,1.494,1.7365,1250,53.96459,-122.78269
2022-11-24 00:00:00+00:00,,,,1.614,2.0620000000000003,2.2445,1280,53.893547,-122.813866
2022-11-24 00:00:00+00:00,55.207,45.607,942.743,1.0085,1.7175,2.0095,27887,53.92485,-122.78755
2022-11-24 00:00:00+00:00,52.357,47.267,938.481,1.4725,2.2615,2.4385,108414,53.871243,-122.77193
2022-11-24 00:00:00+00:00,51.115,46.994,942.735,1.153,1.8985,2.1195,9614,53.895447,-122.79881
2022-11-24 00:00:00+00:00,59.733,46.315,946.832,1.822,3.0805,3.6005000000000003,24497,53.9048,-122.75479
